,date,new_cases,new_deaths,new_tests,year,day,weekdays,month,total_tests,total_deaths,total_cases,location,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita,cases_per_million
0,2019-12-31,0.0,0.0,,2019,31,1,12,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
1,2020-01-01,0.0,0.0,,2020,1,2,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
2,2020-01-02,0.0,0.0,,2020,2,3,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
3,2020-01-03,0.0,0.0,,2020,3,4,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
4,2020-01-04,0.0,0.0,,2020,4,5,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
5,2020-01-05,0.0,0.0,,2020,5,6,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
6,2020-01-06,0.0,0.0,,2020,6,0,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
7,2020-01-07,0.0,0.0,,2020,7,1,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
8,2020-01-08,0.0,0.0,,2020,8,2,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
9,2020-01-09,0.0,0.0,,2020,9,3,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
10,2020-01-10,0.0,0.0,,2020,10,4,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
11,2020-01-11,0.0,0.0,,2020,11,5,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
12,2020-01-12,0.0,0.0,,2020,12,6,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
13,2020-01-13,0.0,0.0,,2020,13,0,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
14,2020-01-14,0.0,0.0,,2020,14,1,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
15,2020-01-15,0.0,0.0,,2020,15,2,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
16,2020-01-16,0.0,0.0,,2020,16,3,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
17,2020-01-17,0.0,0.0,,2020,17,4,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
18,2020-01-18,0.0,0.0,,2020,18,5,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
19,2020-01-19,0.0,0.0,,2020,19,6,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
20,2020-01-20,0.0,0.0,,2020,20,0,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
21,2020-01-21,0.0,0.0,,2020,21,1,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
22,2020-01-22,0.0,0.0,,2020,22,2,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
23,2020-01-23,0.0,0.0,,2020,23,3,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
24,2020-01-24,0.0,0.0,,2020,24,4,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
25,2020-01-25,0.0,0.0,,2020,25,5,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
26,2020-01-26,0.0,0.0,,2020,26,6,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
27,2020-01-27,0.0,0.0,,2020,27,0,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
28,2020-01-28,0.0,0.0,,2020,28,1,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
29,2020-01-29,0.0,0.0,,2020,29,2,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
30,2020-01-30,0.0,0.0,,2020,30,3,1,,0.0,0.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0
31,2020-01-31,3.0,0.0,,2020,31,4,1,,0.0,3.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915
32,2020-02-01,0.0,0.0,,2020,1,5,2,,0.0,3.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915
33,2020-02-02,0.0,0.0,,2020,2,6,2,,0.0,3.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915
34,2020-02-03,0.0,0.0,,2020,3,0,2,,0.0,3.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915
35,2020-02-04,0.0,0.0,,2020,4,1,2,,0.0,3.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915
36,2020-02-05,0.0,0.0,,2020,5,2,2,,0.0,3.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915
37,2020-02-06,0.0,0.0,,2020,6,3,2,,0.0,3.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915
38,2020-02-07,0.0,0.0,,2020,7,4,2,,0.0,3.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915
39,2020-02-08,0.0,0.0,,2020,8,5,2,,0.0,3.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915
40,2020-02-09,0.0,0.0,,2020,9,6,2,,0.0,3.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915
41,2020-02-10,0.0,0.0,,2020,10,0,2,,0.0,3.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915
42,2020-02-11,0.0,0.0,,2020,11,1,2,,0.0,3.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915
43,2020-02-12,0.0,0.0,,2020,12,2,2,,0.0,3.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915
44,2020-02-13,0.0,0.0,,2020,13,3,2,,0.0,3.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915
45,2020-02-14,0.0,0.0,,2020,14,4,2,,0.0,3.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915
46,2020-02-15,0.0,0.0,,2020,15,5,2,,0.0,3.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915
47,2020-02-16,0.0,0.0,,2020,16,6,2,,0.0,3.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915
48,2020-02-17,0.0,0.0,,2020,17,0,2,,0.0,3.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915
49,2020-02-18,0.0,0.0,,2020,18,1,2,,0.0,3.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915
50,2020-02-19,0.0,0.0,,2020,19,2,2,,0.0,3.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915
51,2020-02-20,0.0,0.0,,2020,20,3,2,,0.0,3.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915
52,2020-02-21,0.0,0.0,,2020,21,4,2,,0.0,3.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.04961808299940915
53,2020-02-22,14.0,0.0,,2020,22,5,2,,0.0,17.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.28116913699665186
54,2020-02-23,62.0,2.0,,2020,23,6,2,,2.0,79.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,1.3066095189844409
55,2020-02-24,53.0,0.0,,2020,24,0,2,,2.0,132.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,2.1831956519740023
56,2020-02-25,97.0,4.0,,2020,25,1,2,,6.0,229.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,3.7875136689548983
57,2020-02-26,93.0,5.0,,2020,26,2,2,,11.0,322.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,5.325674241936582
58,2020-02-27,78.0,1.0,,2020,27,3,2,,12.0,400.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,6.61574439992122
59,2020-02-28,250.0,5.0,,2020,28,4,2,,17.0,650.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,10.750584649871982
60,2020-02-29,238.0,4.0,,2020,29,5,2,,21.0,888.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,14.686952567825108
61,2020-03-01,240.0,8.0,,2020,1,6,3,,29.0,1128.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,18.656399207777838
62,2020-03-02,561.0,6.0,,2020,2,0,3,,35.0,1689.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,27.93498072866735
63,2020-03-03,347.0,17.0,,2020,3,1,3,,52.0,2036.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,33.67413899559901
64,2020-03-04,466.0,28.0,,2020,4,2,3,,80.0,2502.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,41.38148122150723
65,2020-03-05,587.0,27.0,,2020,5,3,3,,107.0,3089.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,51.09008612839162
66,2020-03-06,769.0,41.0,,2020,6,4,3,,148.0,3858.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,63.80885473724016
67,2020-03-07,778.0,49.0,,2020,7,5,3,,197.0,4636.0,Italy,Europe,60461828.0,83.51,3.18,35220.084,76.67647759508694
